"Year","annual flow (cf/ac/yr)","annual rain (in)"
2015,162474.625284217,203.759387755102
2016,104633.727921196,158.03
2017,41581.3756793478,120.64
2018,206949.201766304,213.56
2019,48363.113111413,117.84
2020,105882.458626604,154.945491803279
